Date,Close
1/5/2018,38.14
1/12/2018,36.9
1/19/2018,37.21
1/26/2018,37.82
2/2/2018,38.07
2/9/2018,36.05
2/16/2018,37.14
2/23/2018,36.72
3/2/2018,36.35
3/9/2018,37.05
3/16/2018,37
3/23/2018,34.7
3/29/2018,35.65
4/6/2018,35.63
4/13/2018,35.14
4/20/2018,34.67
4/27/2018,33.04
5/4/2018,32.14
5/11/2018,32.29
5/18/2018,32.05
5/25/2018,32.51
6/1/2018,32.47
6/8/2018,33.83
6/15/2018,33.15
6/22/2018,31.69
6/29/2018,32.11
7/6/2018,32.68
7/13/2018,31.67
7/20/2018,31.1
7/27/2018,31.08
8/3/2018,32.27
8/10/2018,32.26
8/17/2018,33.03
8/24/2018,32.64
8/31/2018,31.94
9/7/2018,32.12
9/14/2018,33.6
9/21/2018,33.78
9/28/2018,33.58
10/5/2018,33.99
10/12/2018,32.25
10/19/2018,32.87
10/26/2018,29.09
11/2/2018,30.52
11/9/2018,30.69
11/16/2018,30.29
11/23/2018,29.36
11/30/2018,31.24
12/7/2018,30.14
12/14/2018,30.22
12/21/2018,28.31
12/28/2018,28.46
1/4/2019,30.34
1/11/2019,30.87
1/18/2019,30.96
1/25/2019,30.66
2/1/2019,30
2/8/2019,29.55
2/15/2019,30.47
2/22/2019,31.15
3/1/2019,30.82
3/8/2019,29.96
3/15/2019,30.67
3/22/2019,31.07
3/29/2019,31.36
4/5/2019,32.35
4/12/2019,32.2
4/18/2019,32.03
4/26/2019,30.68
5/3/2019,30.7
5/10/2019,30.62
5/17/2019,31.8
5/24/2019,32.27
5/31/2019,30.58
6/7/2019,32.49
6/14/2019,32.35
6/21/2019,32.45
6/28/2019,33.51
7/5/2019,34.3
7/12/2019,33.65
7/19/2019,32.79
7/26/2019,34.15
8/2/2019,34.17
8/9/2019,34.54
8/16/2019,34.97
8/23/2019,34.82
8/30/2019,35.26
9/6/2019,36.25
9/13/2019,37.91
9/20/2019,37.91
9/27/2019,37.43
10/4/2019,37.51
10/11/2019,37.58
10/18/2019,38.47
10/25/2019,36.91
11/1/2019,38.95
11/8/2019,39.38
11/15/2019,39.5
11/22/2019,37.75
11/29/2019,37.38
12/6/2019,38.2
12/13/2019,38.26
12/20/2019,39.15
12/27/2019,39.24
1/3/2020,39.06
1/10/2020,38.57
1/17/2020,38.38
1/24/2020,38.5
1/31/2020,37.62
2/7/2020,38.45
2/14/2020,38.25
2/21/2020,38.55
2/28/2020,35.22
3/6/2020,37.03
3/13/2020,34.47
3/20/2020,28.45
3/27/2020,29.84
4/3/2020,27.46
4/9/2020,30.73
4/17/2020,31.23
4/24/2020,29.71
5/1/2020,29.9
5/8/2020,29.79
5/15/2020,28.31
5/22/2020,29.88
5/29/2020,30.86
6/5/2020,32.77
6/12/2020,30.5
6/19/2020,30.31
6/26/2020,29.08
7/2/2020,30.08
7/10/2020,30.13
7/17/2020,30.25
7/24/2020,29.57
7/31/2020,29.58
8/7/2020,30.02
8/14/2020,30.01
8/21/2020,29.69
8/28/2020,30.04
9/4/2020,29.42
9/11/2020,29
9/18/2020,28.93
9/25/2020,28.04
